"","Var1","Var2","Var3","Freq","prop"
"1","Progenitors","B342","D40",1779,62.4210526315789
"2","T1","B342","D40",627,22
"3","T3","B342","D40",432,15.1578947368421
"4","eCone","B342","D40",10,0.350877192982456
"5","imCone","B342","D40",0,0
"6","Cone","B342","D40",0,0
"7","eRod","B342","D40",2,0.0701754385964912
"8","imRod","B342","D40",0,0
"9","Rod","B342","D40",0,0
"10","DivRod","B342","D40",0,0
"11","Progenitors","B342cor","D40",431,48.1026785714286
"12","T1","B342cor","D40",283,31.5848214285714
"13","T3","B342cor","D40",177,19.7544642857143
"14","eCone","B342cor","D40",1,0.111607142857143
"15","imCone","B342cor","D40",0,0
"16","Cone","B342cor","D40",0,0
"17","eRod","B342cor","D40",4,0.446428571428571
"18","imRod","B342cor","D40",0,0
"19","Rod","B342cor","D40",0,0
"20","DivRod","B342cor","D40",0,0
"21","Progenitors","B1427","D40",1245,64.6081992734821
"22","T1","B1427","D40",559,29.0088220031137
"23","T3","B1427","D40",118,6.12350804359107
"24","eCone","B1427","D40",1,0.0518941359626362
"25","imCone","B1427","D40",0,0
"26","Cone","B1427","D40",0,0
"27","eRod","B1427","D40",4,0.207576543850545
"28","imRod","B1427","D40",0,0
"29","Rod","B1427","D40",0,0
"30","DivRod","B1427","D40",0,0
"31","Progenitors","B342","D80",638,25.82995951417
"32","T1","B342","D80",151,6.11336032388664
"33","T3","B342","D80",341,13.8056680161943
"34","eCone","B342","D80",882,35.7085020242915
"35","imCone","B342","D80",130,5.26315789473684
"36","Cone","B342","D80",13,0.526315789473684
"37","eRod","B342","D80",301,12.1862348178138
"38","imRod","B342","D80",1,0.0404858299595142
"39","Rod","B342","D80",0,0
"40","DivRod","B342","D80",13,0.526315789473684
"41","Progenitors","B342cor","D80",668,14.8444444444444
"42","T1","B342cor","D80",164,3.64444444444444
"43","T3","B342cor","D80",655,14.5555555555556
"44","eCone","B342cor","D80",2191,48.6888888888889
"45","imCone","B342cor","D80",59,1.31111111111111
"46","Cone","B342cor","D80",4,0.0888888888888889
"47","eRod","B342cor","D80",723,16.0666666666667
"48","imRod","B342cor","D80",19,0.422222222222222
"49","Rod","B342cor","D80",6,0.133333333333333
"50","DivRod","B342cor","D80",11,0.244444444444444
"51","Progenitors","B1427","D80",770,21.2472406181015
"52","T1","B1427","D80",150,4.13907284768212
"53","T3","B1427","D80",597,16.4735099337748
"54","eCone","B1427","D80",1833,50.5794701986755
"55","imCone","B1427","D80",11,0.303532008830022
"56","Cone","B1427","D80",2,0.0551876379690949
"57","eRod","B1427","D80",252,6.95364238410596
"58","imRod","B1427","D80",4,0.11037527593819
"59","Rod","B1427","D80",1,0.0275938189845475
"60","DivRod","B1427","D80",4,0.11037527593819
"61","Progenitors","B342","D120",29,0.929785187560115
"62","T1","B342","D120",31,0.993908303943572
"63","T3","B342","D120",32,1.0259698621353
"64","eCone","B342","D120",27,0.865662071176659
"65","imCone","B342","D120",333,10.6764988778455
"66","Cone","B342","D120",854,27.3805706957358
"67","eRod","B342","D120",269,8.62455915357486
"68","imRod","B342","D120",38,1.21833921128567
"69","Rod","B342","D120",0,0
"70","DivRod","B342","D120",1506,48.2847066367425
"71","Progenitors","B342cor","D120",106,1.7171553539608
"72","T1","B342cor","D120",31,0.502186943139478
"73","T3","B342cor","D120",63,1.02057346508991
"74","eCone","B342cor","D120",39,0.631783573627086
"75","imCone","B342cor","D120",454,7.35460878017172
"76","Cone","B342cor","D120",962,15.5839948161348
"77","eRod","B342cor","D120",432,6.99821804633079
"78","imRod","B342cor","D120",1850,29.9692208002592
"79","Rod","B342cor","D120",2079,33.678924347967
"80","DivRod","B342cor","D120",157,2.54333387331929
"81","Progenitors","B1427","D120",201,5.15252499359139
"82","T1","B1427","D120",87,2.23019738528582
"83","T3","B1427","D120",85,2.17892847987695
"84","eCone","B1427","D120",98,2.51217636503461
"85","imCone","B1427","D120",500,12.8172263522174
"86","Cone","B1427","D120",884,22.6608561907203
"87","eRod","B1427","D120",333,8.53627275057677
"88","imRod","B1427","D120",674,17.277621122789
"89","Rod","B1427","D120",812,20.815175596001
"90","DivRod","B1427","D120",227,5.81902076390669
"91","Progenitors","B342","D160",41,0.899320026321562
"92","T1","B342","D160",21,0.460627330554946
"93","T3","B342","D160",37,0.811581487168239
"94","eCone","B342","D160",12,0.263215617459969
"95","imCone","B342","D160",70,1.53542443518315
"96","Cone","B342","D160",1622,35.5779776266725
"97","eRod","B342","D160",100,2.19346347883308
"98","imRod","B342","D160",34,0.745777582803246
"99","Rod","B342","D160",1,0.0219346347883308
"100","DivRod","B342","D160",2621,57.490677780215
"101","Progenitors","B342cor","D160",20,0.46339202965709
"102","T1","B342cor","D160",14,0.324374420759963
"103","T3","B342cor","D160",2,0.046339202965709
"104","eCone","B342cor","D160",1,0.0231696014828545
"105","imCone","B342cor","D160",28,0.648748841519926
"106","Cone","B342cor","D160",1026,23.7720111214087
"107","eRod","B342cor","D160",77,1.7840593141798
"108","imRod","B342cor","D160",512,11.8628359592215
"109","Rod","B342cor","D160",2419,56.047265987025
"110","DivRod","B342cor","D160",217,5.02780352177943
"111","Progenitors","B1427","D160",22,0.628751071734781
"112","T1","B1427","D160",16,0.457273506716205
"113","T3","B1427","D160",7,0.20005715918834
"114","eCone","B1427","D160",14,0.400114318376679
"115","imCone","B1427","D160",35,1.0002857959417
"116","Cone","B1427","D160",998,28.5224349814233
"117","eRod","B1427","D160",65,1.85767362103458
"118","imRod","B1427","D160",250,7.1448985424407
"119","Rod","B1427","D160",1895,54.1583309517005
"120","DivRod","B1427","D160",197,5.63018005144327
