motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name
MA0504.1,33,7440,45.20547945205479,14.879999999999999,3.0380026513477683,6.015863905438529e-10,NR2C2
MA0640.2,33,8350,45.20547945205479,16.7,2.70691493724879,1.1939962156931423e-8,ELF3
MA0732.1,24,4675,32.87671232876712,9.35,3.5162259175152,2.3227478513936993e-8,EGR3
MA1514.1,33,8741,45.20547945205479,17.482,2.5858299652245047,3.780309782882442e-8,KLF17
MA0162.4,30,7489,41.0958904109589,14.978,2.743750194348972,6.113654696624558e-8,EGR1
MA1981.1,44,15198,60.273972602739725,30.396,1.9829573826404698,1.2301582395880896e-7,ZNF530
MA0039.4,44,15357,60.273972602739725,30.714000000000002,1.96242666545353,1.7133950221758632e-7,KLF4
MA0598.3,29,7410,39.726027397260275,14.82,2.680568650287468,1.918396180245031e-7,EHF
MA0761.2,30,7985,41.0958904109589,15.97,2.5733181221639887,2.599199575714661e-7,ETV1
MA1513.1,27,6735,36.986301369863014,13.469999999999999,2.7458278671019314,3.893441154542008e-7,KLF15
MA0474.3,31,8671,42.465753424657535,17.342,2.4487229514852693,4.4925021393423325e-7,Erg
MA0685.2,40,13549,54.794520547945204,27.098,2.022087259131493,5.364387048675984e-7,SP4
MA0753.2,32,9375,43.83561643835616,18.75,2.3378995433789953,7.558978469143178e-7,ZNF740
MA0740.2,37,12192,50.68493150684932,24.384,2.078614317045986,1.0958217778234457e-6,KLF14
MA1976.1,38,12820,52.054794520547944,25.64,2.030218195029171,1.2634568642712819e-6,ZNF320
MA1100.2,27,7198,36.986301369863014,14.396,2.569206819245833,1.4719750011159036e-6,ASCL1
MA1512.1,29,8164,39.726027397260275,16.328,2.4330002080634663,1.519372042295122e-6,KLF11
MA0516.3,34,10739,46.57534246575342,21.478,2.1685139429068543,1.615798251199376e-6,SP2
MA0741.1,34,10753,46.57534246575342,21.506,2.1656906196295647,1.6668947157667381e-6,KLF16
MA1723.1,49,19803,67.12328767123287,39.606,1.6947757327483934,1.817603972581896e-6,PRDM9
MA0473.3,29,8387,39.726027397260275,16.774,2.3683097291796993,2.6601000547281745e-6,ELF1
MA0659.3,23,5662,31.506849315068493,11.324,2.7823074280350135,3.230083794500901e-6,Mafg
MA1710.1,39,14001,53.42465753424658,28.002,1.9078872057083986,4.18513654094608e-6,ZNF257
MA0599.1,40,14678,54.794520547945204,29.355999999999998,1.8665526825161878,4.917315094041521e-6,KLF5
MA0742.2,30,9150,41.0958904109589,18.3,2.245677071637098,4.942993970166953e-6,KLF12
MA1630.2,43,16599,58.9041095890411,33.198,1.7743270555166304,5.810482515891456e-6,ZNF281
MA1521.1,16,3018,21.91780821917808,6.036,3.631180950824732,5.837141174916245e-6,MAFA
MA0062.3,28,8219,38.35616438356164,16.438,2.333383889984283,5.8697919851282714e-6,GABPA
MA1107.2,37,13079,50.68493150684932,26.157999999999998,1.9376455197969769,6.5540302604696945e-6,KLF9
MA1731.1,33,10857,45.20547945205479,21.714,2.0818586834325683,6.592369233024264e-6,ZNF768
MA1615.1,31,9806,42.465753424657535,19.612,2.165294382248498,6.7493987677062285e-6,Plagl1
MA1653.1,41,15471,56.16438356164384,30.941999999999997,1.8151503962783222,6.949007642215075e-6,ZNF148
MA1564.1,28,8316,38.35616438356164,16.631999999999998,2.3061666897283337,7.389681117109091e-6,SP9
MA1959.1,31,9980,42.465753424657535,19.96,2.1275427567463696,9.806420872756026e-6,KLF7
MA1522.1,36,12766,49.31506849315068,25.532,1.931500410980365,1.0688502280334261e-5,MAZ
MA0747.1,29,9060,39.726027397260275,18.12,2.1923856179503463,1.2704905241002893e-5,SP8
