"","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","gene","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"1",0,3.58003137191839,0.873,0.181,0,"PEX5L",0,-0.891635785067002,0.873,0.993,0
"2",0,3.71586823154037,0.765,0.105,0,"SYNDIG1",8.9597437756388e-234,1.23154460964944,0.765,0.703,3.27935581932156e-229
"3",0,4.17858299397608,0.61,0.089,0,"ARR3",0,-2.62852310562594,0.61,0.956,0
"4",0,-2.79484094917524,0.206,0.687,0,"PCDH15",0,-2.11950034506634,0.206,0.662,0
"5",0,-2.81354939778597,0.208,0.675,0,"NLGN1",3.22301048369624e-30,-0.481917133111612,0.208,0.313,1.17965406713766e-25
"6",0,2.4258053794707,0.682,0.218,0,"ROBO2",5.72341132696891e-167,-0.545760010849911,0.682,0.937,2.09482577978389e-162
"7",0,3.17692410736014,0.855,0.391,0,"AC112206.2",3.0302661473943e-130,-0.651862562569217,0.855,0.958,1.10910771260779e-125
"8",0,2.926331444488,0.539,0.112,0,"AC106798.1",4.4257451997429e-45,-0.224884878954594,0.539,0.74,1.6198670005579e-40
"9",0,2.00244974430681,0.762,0.336,0,"SERPINF1",0.00734422884692655,0.108977247050579,0.762,0.912,1
"10",0,1.67629649246189,0.658,0.238,0,"SIX6",3.08642833471677e-131,-0.532469992061533,0.658,0.893,1.12966363478968e-126
"11",0,1.5051810942896,0.686,0.282,0,"RXRG",1.33743988918413e-62,-0.283682027316877,0.686,0.907,4.89516373840284e-58
"12",0,1.46345934505196,0.755,0.355,0,"LBH",9.12092393378697e-89,-0.336453396524294,0.755,0.936,3.33834936900537e-84
"13",0,1.41371700603703,0.719,0.325,0,"COX14",8.27087622632675e-97,-0.384989599080874,0.719,0.933,3.02722340759785e-92
"14",0,2.19962190200138,0.494,0.111,0,"THSD7A",5.44737255002764e-138,-0.572787186876186,0.494,0.789,1.99379282703562e-133
"15",0,1.39051681381515,0.744,0.364,0,"WWC1",5.52012269137669e-90,-0.362452130099893,0.744,0.937,2.02042010627078e-85
"16",0,-2.6353299515113,0.55,0.927,0,"PDE6G",2.30951241019449e-110,1.43444609534835,0.55,0.451,8.45304637255285e-106
"17",0,1.51873013060604,0.831,0.456,0,"DHRS7",7.72565751657717e-07,-0.0129314889915271,0.831,0.936,0.0282766790764241
"18",0,1.24906673290931,0.814,0.442,0,"MCC",2.17620049063541e-32,0.377574144628946,0.814,0.89,7.96511141577467e-28
"19",0,1.50148958480863,0.876,0.505,0,"NEDD4L",5.03368026400356e-289,-0.582307056967366,0.876,0.995,1.84237731342794e-284
"20",0,1.73493833189836,0.849,0.496,0,"NSMCE2",0,1.82046858560592,0.849,0.745,0
"21",0,1.99434916764214,0.789,0.437,0,"VTN",3.33440709519074e-254,1.42466731300367,0.789,0.683,1.22042634091076e-249
"22",0,1.88104758365172,0.946,0.602,0,"CADPS",1.47067666850913e-10,-0.00782467139859833,0.946,0.993,5.38282367441026e-06
"23",0,1.29876316932578,0.749,0.409,0,"FSD1L",4.12344936541014e-48,-0.273931090391672,0.749,0.914,1.50922370223377e-43
"24",0,-1.03702850456995,0.616,0.956,0,"MT-ND1",6.05333427583166e-160,-0.595334094827179,0.616,0.843,2.21558087829715e-155
"25",0,-1.47240538968021,0.629,0.969,0,"MT-ND2",4.0838785133539e-222,-0.808916563470314,0.629,0.848,1.49474037467266e-217
"26",0,3.14608732371938,0.379,0.045,0,"EDIL3",1.69891302410127e-142,-0.671775167168938,0.379,0.677,6.21819155951304e-138
"27",0,5.77220700584404,0.334,0.012,0,"VXN",1.30975200605287e-29,0.232893029849926,0.334,0.511,4.7938233173541e-25
"28",0,5.56244639809982,0.362,0.049,0,"TTR",8.45864005482217e-06,1.05581389737826,0.362,0.459,0.309594684646546
"29",0,1.8960817912282,0.864,0.553,0,"PHPT1",4.55950345918583e-108,0.876039207858465,0.864,0.929,1.66882386109661e-103
"30",0,-1.74278183897883,0.69,0.994,0,"GNAT1",0,3.34680484336736,0.69,0.245,0
"31",0,2.96658035145159,0.367,0.063,0,"CDH20",3.0660919092332e-109,1.57770840948309,0.367,0.208,1.12222029969844e-104
"32",0,-1.71092920059005,0.662,0.948,0,"CNGB1",9.27992153449507e-10,0.507850734548076,0.662,0.786,3.39654408084054e-05
"33",0,-1.19189956264019,0.684,0.967,0,"MT-ND3",2.04277297355839e-131,-0.523565194123733,0.684,0.859,7.47675336052106e-127
"34",0,-1.38100000270958,0.587,0.86,0,"ANK3",1.49302219540609e-110,-0.474498523114927,0.587,0.822,5.46461053740583e-106
"35",0,-1.07049902507991,0.713,0.976,0,"MT-ND4",1.90896111504545e-233,-0.925612658192654,0.713,0.88,6.98698857717785e-229
"36",0,-1.59451951257133,0.568,0.83,0,"YBX3",5.51515648709477e-46,0.896607192762644,0.568,0.566,2.01860242584156e-41
"37",0,-1.72985445428279,0.584,0.841,0,"CABP5",0,3.30123074865353,0.584,0.156,0
"38",0,1.26412402262637,0.843,0.588,0,"GUCA1B",0,-1.33338811183483,0.843,0.994,0
"39",0,-1.41530231474965,0.434,0.684,0,"CASC15",4.22796251096624e-160,1.75230871171803,0.434,0.246,1.54747655863875e-155
"40",0,2.67677421650215,0.962,0.714,0,"PDE6H",0,-1.83779162436661,0.962,0.999,0
