"","...1","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","chr5-135534784-135536421",6.82115131919153e-122,-3.13786641025172,0.086,0.554,2.02752583926781e-116
"2","chr17-21550982-21551901",1.56892901859039e-114,-8.36613488134023,0.001,0.266,4.66350030414826e-109
"3","chr10-38402206-38403367",9.26320001476878e-82,-7.01800531058244,0.002,0.195,2.75340283558989e-76
"4","chr4-109972026-109973739",5.45931760900248e-53,-3.18667247876737,0.033,0.262,1.62273302541751e-47
"5","chr17-80474572-80478602",3.63080587138092e-46,-1.5340636542456,0.313,0.65,1.07922436801514e-40
"6","chr10-76012479-76013674",6.4435638365655e-45,-3.60112641184211,0.019,0.195,1.91529135834456e-39
"7","chr14-77140321-77142594",1.19462212906421e-43,-1.87413927871234,0.149,0.451,3.55090676265176e-38
"8","chr12-122084937-122085476",7.94463491777551e-42,-3.5977585086769,0.015,0.169,2.36147122759451e-36
"9","chr5-135544556-135545386",8.13933257637913e-41,-2.43633650276044,0.074,0.314,2.41934335433551e-35
"10","chr20-24468877-24471534",4.12598573370354e-40,-1.89889736456093,0.143,0.435,1.22641212547177e-34
"11","chr20-24313573-24314522",1.25319500601657e-38,-2.68259978211888,0.042,0.243,3.7250093678337e-33
"12","chr1-161274688-161275881",1.05817584959874e-36,-4.28287994584991,0.007,0.119,3.14533247710578e-31
"13","chr19-7721695-7722751",2.967285515366e-36,-2.5279073163574,0.052,0.261,8.81998913872904e-31
"14","chr7-66146721-66147197",1.21868302822965e-34,-3.39274331927516,0.017,0.166,3.62242561994011e-29
"15","chr11-67619541-67621004",1.06038518100803e-31,2.33963150734436,0.15,0.026,3.15189951588008e-26
"16","chr17-80523903-80525208",4.81540381543584e-31,-2.44992965272801,0.046,0.243,1.43133544550397e-25
"17","chr1-176603099-176604097",9.6216657530955e-31,-2.72593879724285,0.033,0.195,2.85995355011586e-25
"18","chr3-179883800-179884490",1.04294183759149e-30,-3.39197750808522,0.014,0.14,3.10005074747531e-25
"19","chrX-70267033-70268542",1.45858258506423e-30,-2.16423777249953,0.073,0.275,4.33550546167076e-25
